Title,Authors
Isolating Unisolated Upsilons with Anomaly Detection in CMS Open Data,"Rikab Gambhir, Radha Mastandrea, Benjamin Nachman, Jesse Thaler"
Mamute: high-performance computing for geophysical methods,"João B. Fernandes, Antônio D. S. Oliveira, Mateus C. A. T. Silva, Felipe H. Santos-da-Silva, Vitor H. M. Rodrigues, Kleiton A. Schneider, Calebe P. Bianchini, João M. de Araujo, Tiago Barros, Ítalo A. S. Assis, Samuel Xavier-de-Souza"
Searching for exotic scalars at fusion reactors,"Chaja Baruch, Patrick J. Fitzpatrick, Tony Menzo, Yotam Soreq, Sokratis Trifinopoulos, Jure Zupan"
A Precise Determination of $α_s$ from the Heavy Jet Mass Distribution,"Miguel A. Benitez, Arindam Bhattacharya, Andre H. Hoang, Vicent Mateu, Matthew D. Schwartz, Iain W. Stewart, Xiaoyuan Zhang"
AI-generated Text Detection with a GLTR-based Approach,"Lucía Yan Wu, Isabel Segura-Bedmar"
VLDBench: Vision Language Models Disinformation Detection Benchmark,"Shaina Raza, Ashmal Vayani, Aditya Jain, Aravind Narayanan, Vahid Reza Khazaie, Syed Raza Bashir, Elham Dolatabadi, Gias Uddin, Christos Emmanouilidis, Rizwan Qureshi, Mubarak Shah"
Primus: A Pioneering Collection of Open-Source Datasets for Cybersecurity LLM Training,"Yao-Ching Yu, Tsun-Han Chiang, Cheng-Wei Tsai, Chien-Ming Huang, Wen-Kwang Tsao"
Dynamic Chain-of-Thought: Towards Adaptive Deep Reasoning,Libo Wang
Auto-Evaluation: A Critical Measure in Driving Improvements in Quality and Safety of AI-Generated Lesson Resources,"Hannah-Beth Clark, Margaux Dowland, Laura Benton, Reka Budai, Ibrahim Kaan Keskin, Emma Searle, Matthew Gregory, Mark Hodierne, William Gayne, John Roberts"
Gauge hierarchy and metastability from Higgs-driven crunching,"Sean Benevedes, Ameen Ismail, Thomas Steingasser"
FADE: Forecasting for Anomaly Detection on ECG,"Paula Ruiz-Barroso, Francisco M. Castro, José Miranda, Denisa-Andreea Constantinescu, David Atienza, Nicolás Guil"
Building networks of shared research interests by embedding words into a representation space,Art Poon
Critically slow Hilbert-space ergodicity in quantum morphic drives,"Saúl Pilatowsky-Cameo, Soonwon Choi, Wen Wei Ho"
Self-Rationalization in the Wild: A Large Scale Out-of-Distribution Evaluation on NLI-related tasks,"Jing Yang, Max Glockner, Anderson Rocha, Iryna Gurevych"
User-Friendly Game-Theoretic Modeling and Analysis of Multi-Modal Transportation Systems,"Margarita Zambrano, Xinling Li, Riccardo Fiorista, Gioele Zardini"
"Love numbers of black p-branes: fine tuning, Love symmetries, and their geometrization","Panagiotis Charalambous, Sergei Dubovsky, Mikhail M. Ivanov"
Bounds on Velocity-Dependent Dark Matter-Baryon Scattering from Large-Scale Structure,"Adam He, Mikhail M. Ivanov, Rui An, Trey Driskell, Vera Gluscevic"
DEUCE: Dual-diversity Enhancement and Uncertainty-awareness for Cold-start Active Learning,"Jiaxin Guo, C. L. Philip Chen, Shuzhen Li, Tong Zhang"
Progress in Normalizing Flows for 4d Gauge Theories,"Ryan Abbott, Denis Boyda, Daniel C. Hackett, Gurtej Kanwar, Fernando Romero-López, Phiala E. Shanahan, Julian M. Urban"
What is Connectivity?,"Jean F. Du Plessis, Zurab Janelidze, Bernardus A. Wessels"
Results on meson-meson scattering at large $N_\text{c}$,"Jorge Baeza-Ballesteros, Pilar Hernández, Fernando Romero-López"
Visualizing How the Structure of Large-Radius Jets Shapes Their Wakes,"Arjun Srinivasan Kudinoor, Daniel Pablos, Krishna Rajagopal"
Quantum Computing from Graphs,Andrey Boris Khesin
Docling: An Efficient Open-Source Toolkit for AI-driven Document Conversion,"Nikolaos Livathinos, Christoph Auer, Maksym Lysak, Ahmed Nassar, Michele Dolfi, Panos Vagenas, Cesar Berrospi Ramis, Matteo Omenetti, Kasper Dinkla, Yusik Kim, Shubham Gupta, Rafael Teixeira de Lima, Valery Weber, Lucas Morin, Ingmar Meijer, Viktor Kuropiatnyk, Peter W. J. Staar"
QCD Theory meets Information Theory,"Benoît Assi, Stefan Höche, Kyle Lee, Jesse Thaler"
Energy Correlators Beyond Angles,"Samuel Alipour-fard, Wouter J. Waalewijn"
A classical model for semiclassical state-counting,Jonathan Sorce
Matrix Calculus (for Machine Learning and Beyond),"Paige Bright, Alan Edelman, Steven G. Johnson"
Enhancing kelp forest detection in remote sensing images using crowdsourced labels with Mixed Vision Transformers and ConvNeXt segmentation models,Ioannis Nasios
Solving continuum and rarefied flows using differentiable programming,Tianbai Xiao
Searching for compact pentaquark state within the bag model framework,"Wen-Nian Liu, Wen-Xuan Zhang, Fu-Quan Dou"
A quantum algorithm for Khovanov homology,"Alexander Schmidhuber, Michele Reilly, Paolo Zanardi, Seth Lloyd, Aaron Lauda"
Approaching the Inverse Problem: Toward Lattice QCD Calculations of Inclusive Hadronic Quantities,William Jay
The role of finite value of strange quark mass $(m_{s}\neq0)$ and baryon number density $(n)$ on the stability and maximum mass of strange stars,"Pradip Kumar Chattopadhyay, Debadri Bhattacharjee"
Strange quark stars in modified vectorMITbag model: role of $ρ$ and $φ$ mesons,"Mukul Wadhwa, Manisha Kumari, Arvind Kumar"
Logarithmic Memory Networks (LMNs): Efficient Long-Range Sequence Modeling for Resource-Constrained Environments,Mohamed A. Taha
Quantum Computing Enhanced Sensing,"Richard R. Allen, Francisco Machado, Isaac L. Chuang, Hsin-Yuan Huang, Soonwon Choi"
ELIZA Reanimated: The world's first chatbot restored on the world's first time sharing system,"Rupert Lane, Anthony Hay, Arthur Schwarz, David M. Berry, Jeff Shrager"
Dynamics of Heavy Quarks in Strongly Coupled $\mathcal{N}=4$ SYM Plasma,"Krishna Rajagopal, Bruno Scheihing-Hitschfeld, Urs Achim Wiedemann"
"asanAI: In-Browser, No-Code, Offline-First Machine Learning Toolkit","Norman Koch, Siavash Ghiasvand"
Aspects of Propagator Sparsening in Lattice QCD,"Sam Christian, William Detmold"
Lyman Alpha Forest - Halo Cross-Correlations in Effective Field Theory,"Anton Chudaykin, Mikhail M. Ivanov"
Constraints from Gamma-ray Burst Phenomenology on the Hypothesis of Quark Star as the central engines of Gamma-ray Bursts,Xin-Ying Song
Rapid Experimentation with Python Considering Optional and Hierarchical Inputs,"Neil Ranly, Torrey Wagner"
Quantum mechanics and observers for gravity in a closed universe,"Daniel Harlow, Mykhaylo Usatyuk, Ying Zhao"
Evaluation of the Code Generation Capabilities of ChatGPT 4: A Comparative Analysis in 19 Programming Languages,L. C. Gilbert
GAF-FusionNet: Multimodal ECG Analysis via Gramian Angular Fields and Split Attention,"Jiahao Qin, Feng Liu"
Fermionic Casimir effect at finite temperature in Horava-Lifshitz theories,Andrea Erdas
Outlier-Robust Training of Machine Learning Models,"Rajat Talak, Charis Georgiou, Jingnan Shi, Luca Carlone"
"Emergence, Formation and Dynamics of Hot QCD Matter",Bruno Sebastian Scheihing-Hitschfeld
External field induced metal-to-insulator transition in dissipative Hubbard model,"Beomjoon Goh, Junwon Kim, Hongchul Choi, Ji Hoon Shim"
MobileNetV2: A lightweight classification model for home-based sleep apnea screening,"Hui Pan, Yanxuan Yu, Jilun Ye, Xu Zhang"
Lattice T-duality from non-invertible symmetries in quantum spin chains,"Salvatore D. Pace, Arkya Chatterjee, Shu-Heng Shao"
Compact Neural Network Algorithm for Electrocardiogram Classification,"Mateo Frausto-Avila, Jose Pablo Manriquez-Amavizca, Alfred U'Ren, Mario A. Quiroz-Juarez"
Cech Complex Generation with Homotopy Equivalence Framework for Myocardial Infarction Diagnosis using Electrocardiogram Signals,"Srikireddy Dhanunjay Reddy, Pujayita Deb, Tharun Kumar Reddy Bollu"
Emerging Microelectronic Materials by Design: Navigating Combinatorial Design Space with Scarce and Dispersed Data,"Hengrui Zhang, Alexandru B. Georgescu, Suraj Yerramilli, Christopher Karpovich, Daniel W. Apley, Elsa A. Olivetti, James M. Rondinelli, Wei Chen"
Interactive Classification Metrics: A graphical application to build robust intuition for classification model evaluation,"David H. Brown, Davide Chicco"
Development of a Neuromorphic Network Using BioSFQ Circuits,"Evan B. Golden, Vasili K. Semenov, Sergey K. Tolpygo"
Dark Matter-Electron Detectors for Dark Matter-Nucleon Interactions,"Sinéad M. Griffin, Guy Daniel Hadas, Yonit Hochberg, Katherine Inzani, Benjamin V. Lehmann"
A New Bite Into Dark Matter with the SNSPD-Based QROCODILE Experiment,"Laura Baudis, Alexander Bismark, Noah Brugger, Chiara Capelli, Ilya Charaev, Jose Cuenca García, Guy Daniel Hadas, Yonit Hochberg, Judith K. Hohmann, Alexander Kavner, Christian Koos, Artem Kuzmin, Benjamin V. Lehmann, Severin Nägeli, Titus Neupert, Bjoern Penning, Diego Ramírez García, Andreas Schilling"
On Determining $α_s(m_Z)$ from Dijets in $e^+e^-$ Thrust,"Miguel A. Benitez, Andre H. Hoang, Vicent Mateu, Iain W. Stewart, Gherardo Vita"
New Physics at the Muon (Synchrotron) Ion Collider: MuSIC for several scales,"Hooman Davoudiasl, Hongkai Liu, Roman Marcarelli, Yotam Soreq, Sokratis Trifinopoulos"
Solving the Inverse Problem of Magnetic Induction Tomography Using Gauss-Newton Iterative Method and Zoning Technique to Reduce Unknown Coefficients,"Mohammad Reza Yousefi, Amin Dehghani, Ali Asghar Amini, S. M. Mehdi Mirtalaei"
Efficiently measuring $d$-wave pairing and beyond in quantum gas microscopes,"Daniel K. Mark, Hong-Ye Hu, Joyce Kwan, Christian Kokail, Soonwon Choi, Susanne F. Yelin"
Predicting Survival of Hemodialysis Patients using Federated Learning,"Abhiram Raju, Praneeth Vepakomma"
MPAX: Mathematical Programming in JAX,"Haihao Lu, Zedong Peng, Jinwen Yang"
A single geometry from an all-genus expansion in quantum gravity,"Sergio Hernández-Cuenca, Nico Valdes-Meller, Wayne Wei-en Weng"
MIT-10M: A Large Scale Parallel Corpus of Multilingual Image Translation,"Bo Li, Shaolin Zhu, Lijie Wen"
The ACCEL2 Project: Precision Measurements of EFT Parameters and BAO Peak Shifts for the Lyman-$α$ Forest,"Roger de Belsunce, Shi-Fan Chen, Mikhail M. Ivanov, Corentin Ravoux, Solene Chabanier, Jean Sexton, Zarija Lukic"
FEAD: Figma-Enhanced App Design Framework for Improving UI/UX in Educational App Development,Tianyi Huang
CONDEN-FI: Consistency and Diversity Learning-based Multi-View Unsupervised Feature and In-stance Co-Selection,"Yanyong Huang, Yuxin Cai, Dongjie Wang, Xiuwen Yi, Tianrui Li"
Determination of the pseudoscalar decay constant from SU(2) with two fundamental flavors,"Laurence Sebastian Bowes, Vincent Drach, Patrick Fritzsch, Sofie Martins, Antonio Rago, Fernando Romero-López"
PyPulse: A Python Library for Biosignal Imputation,"Kevin Gao, Maxwell A. Xu, James M. Rehg, Alexander Moreno"
Oscillatory properties of strange quark stars described by the vectorMITbag model,"Luiz L. Lopes, Jose C. Jimenez, Luis B. Castro, Cesar V. Flores"
Electrocardiogram (ECG) Based Cardiac Arrhythmia Detection and Classification using Machine Learning Algorithms,"Atit Pokharel, Shashank Dahal, Pratik Sapkota, Bhupendra Bimal Chhetri"
MSECG: Incorporating Mamba for Robust and Efficient ECG Super-Resolution,"Jie Lin, I Chiu, Kuan-Chen Wang, Kai-Chun Liu, Hsin-Min Wang, Ping-Cheng Yeh, Yu Tsao"
Exciton thermalization dynamics in monolayer MoS2: a first-principles Boltzmann equation study,"Yang-hao Chan, Jonah B. Haber, Mit H. Naik, Steven G. Louie, Jeffrey B. Neaton, Felipe H. da Jornada, Diana Y. Qiu"
Nutzung von Massespeichern zur Flexibilisierung des Energieverbrauchs: Kosteneffizienter Anlagenbetrieb durch Anpassung an Marktpreise,"Lukas Peter Wagner, Lasse Matthias Reinpold, Maximilian Kilthau, Felix Gehlhoff, Christian Derksen, Nils Loose, Julian Jepsen, Alexander Fay"
A note on loop resummation in de Sitter spacetime with the wavefunction of the universe approach,"Javier Huenupi, Ellie Hughes, Gonzalo A. Palma, Spyros Sypsas"
The Millennium and Astrid galaxies in effective field theory: comparison with galaxy-halo connection models at the field level,"Mikhail M. Ivanov, Carolina Cuesta-Lazaro, Andrej Obuljen, Michael W. Toomey, Yueying Ni, Sownak Bose, Boryana Hadzhiyska, César Hernández-Aguayo, Lars Hernquist, Rahul Kannan, Volker Springel"
Beyond SICP -- Design and Implementation of a Notional Machine for Scheme,"Kyriel Abad, Martin Henz"
MSEMG: Surface Electromyography Denoising with a Mamba-based Efficient Network,"Yu-Tung Liu, Kuan-Chen Wang, Rong Chao, Sabato Marco Siniscalchi, Ping-Cheng Yeh, Yu Tsao"
A Graph Neural Network deep-dive into successful counterattacks,"Joris Bekkers, Amod Sahasrabudhe"
Boundary terms in string field theory,"Atakan Hilmi Fırat, Raji Ashenafi Mamade"
Control of ferromagnetism of Vanadium Oxide thin films by oxidation states,"Kwonjin Park, Jaeyong Cho, Soobeom Lee, Jaehun Cho, Jae-Hyun Ha, Jinyong Jung, Dongryul Kim, Won-Chang Choi, Jung-Il Hong, Chun-Yeol You"
Drell-Yan Transverse-Momentum Spectra at N$^3$LL$'$ and Approximate N$^4$LL with SCETlib,"Georgios Billis, Johannes K. L. Michel, Frank J. Tackmann"
Charge gain via solid-state gating of an oxide Mott system,"Lishai Shoham, Itai Silber, Gal Tuvia, Maria Baskin, Soo-Yoon Hwang, Si-Young Choi, Myung-Geun Han, Yimei Zhu, Eilam Yalon, Marcelo J. Rozenberg, Yoram Dagan, Felix Trier, Lior Kornblum"
Simple Scaling Laws for Energy Correlators in Nuclear Matter,"Carlota Andres, Fabio Dominguez, Jack Holguin, Cyrille Marquet, Ian Moult"
"VO$_2$ films grown on TiO$_2$ sub-layer: influence of thickness on structural, electrical and optical properties","M. E. Kutepov, V. E. Kaydashev, D. V. Stryukov, A. S. Konstantinov, A. V. Nikolskiy, A. T. Kozakov, A. D. Morozov, E. M. Kaidashev"
Toward inclusive observables with staggered quarks: the smeared $R$~ratio,"Thomas Blum, William I. Jay, Luchang Jin, Andreas S . Kronfeld, Douglas B. A. Stewart"
On Generalization Bounds for Neural Networks with Low Rank Layers,"Andrea Pinto, Akshay Rangamani, Tomaso Poggio"
bia-binder: A web-native cloud compute service for the bioimage analysis community,"Craig T. Russell, Jean-Marie Burel, Awais Athar, Simon Li, Ugis Sarkans, Jason Swedlow, Alvis Brazma, Matthew Hartley, Virginie Uhlmann"
Exotic phases in finite-density $\mathbb{Z}_3$ theories,"Michael C. Ogilvie, Moses A. Schindler, Stella T. Schindler"
Searching for GeV Gamma-Ray Polarization and Axion-Like Particles with AMS-02,"Xiuyuan Zhang, Yi Jia, Tracy R. Slatyer"
A Bibliometric Analysis of Highly Cited Artificial Intelligence Publications in Science Citation Index Expanded,"Yuh-Shan Ho, Juan-Jose Prieto-Gutierrez"
Scalar and tensor meson dominance and gravitational form factors of the pion,"Enrique Ruiz Arriola, Wojciech Broniowski"
Better Safe Than Sorry: Enhancing Arbitration Graphs for Safe and Robust Autonomous Decision-Making,"Piotr Spieker, Nick Le Large, Martin Lauer"
Reggeization in Color,"Anjie Gao, Ian Moult, Sanjay Raman, Gregory Ridgway, Iain W. Stewart"
The Three-Point Energy Correlator in the Coplanar Limit,"Anjie Gao, Tong-Zhi Yang, Xiaoyuan Zhang"
Reducing Reasoning Costs: The Path of Optimization for Chain of Thought via Sparse Attention Mechanism,Libo Wang
Damping of density oscillations from bulk viscosity in quark matter,"José Luis Hernández, Cristina Manuel, Laura Tolos"
Scholarly Wikidata: Population and Exploration of Conference Data in Wikidata using LLMs,"Nandana Mihindukulasooriya, Sanju Tiwari, Daniil Dobriy, Finn Årup Nielsen, Tek Raj Chhetri, Axel Polleres"
Chaos and the Emergence of the Cosmological Horizon,"David K. Kolchmeyer, Hong Liu"
High quality ECG dataset based onMIT-BIH recordings for improved heartbeats classification,"Ahmed. S Benmessaoud, Farida Medjani, Yahia Bousseloub, Khalid Bouaita, Dhia Benrahem, Tahar Kezai"
The Boundary Effect of QGP Droplet and Self-similarity Effect of Hadrons on QGP-hadron Phase Transition,"Tingting Dai, Huiqiang Ding, Luan Cheng, Weining Zhang, Enke Wang"
NeKo: Toward Post Recognition Generative Correction Large Language Models with Task-Oriented Experts,"Yen-Ting Lin, Chao-Han Huck Yang, Zhehuai Chen, Piotr Zelasko, Xuesong Yang, Zih-Ching Chen, Krishna C Puvvada, Szu-Wei Fu, Ke Hu, Jun Wei Chiu, Jagadeesh Balam, Boris Ginsburg, Yu-Chiang Frank Wang"
SVDQuant: Absorbing Outliers by Low-Rank Components for 4-Bit Diffusion Models,"Muyang Li, Yujun Lin, Zhekai Zhang, Tianle Cai, Xiuyu Li, Junxian Guo, Enze Xie, Chenlin Meng, Jun-Yan Zhu, Song Han"
Characterization of Adiabatic Quantum-Flux-Parametrons in theMITLL SFQ5ee+ Process,"Sergey K. Tolpygo, Evan B. Golden, Christopher L. Ayala, Lieze Schindler, Michael A. Johnston, Neel Parmar, Nobuyuki Yoshikawa"
DP-HLS: A High-Level Synthesis Framework for Accelerating Dynamic Programming Algorithms in Bioinformatics,"Yingqi Cao, Anshu Gupta, Jason Liang, Yatish Turakhia"
Lattice QCD calculation of the subtraction function in forward Compton amplitude,"Yang Fu, Xu Feng, Lu-Chang Jin, Chuan Liu, Shi-Da Wen"
Small-scale Hamiltonian optimization of interpolating operators for Lagrangian lattice quantum field theory,"Artur Avkhadiev, Lena Funcke, Karl Jansen, Stefan Kühn, Phiala E. Shanahan"
QCD coupling constant ($α_c$) and nonzero value of strange quark mass ($m_s\neq 0$) dependent stable stellar structure admitting observational results,"R Roy, K B Goswami, P K Chattopadhyay, A Saha"
Hafnia-based Phase-Change Ferroelectric Steep-Switching FETs on a 2-D MoS$_2$ platform,"Sooraj Sanjay, Jalaja M. A, Navakanta Bhat, Pavan Nukala"
Applicability of Modified Gauss-Bonnet Gravity Models on the Existence of Stellar Structures,"K. Hassan, Tayyab Naseer, M. Sharif"
A Lorentz-Equivariant Transformer for All of the LHC,"Johann Brehmer, Víctor Bresó, Pim de Haan, Tilman Plehn, Huilin Qu, Jonas Spinner, Jesse Thaler"
Constraints on Dark Matter with Future MeV Gamma-Ray Telescopes,"Kayla E. O'Donnell, Tracy R. Slatyer"
Flavor Patterns of Fundamental Particles from Quantum Entanglement?,"Jesse Thaler, Sokratis Trifinopoulos"
A Monte Carlo Framework for Calibrated Uncertainty Estimation in Sequence Prediction,"Qidong Yang, Weicheng Zhu, Joseph Keslin, Laure Zanna, Tim G. J. Rudner, Carlos Fernandez-Granda"
Epitaxial growth and stabilization of perovskite phase EuNiO3 thin films through RF sputtering,"Prashanth S, Binoy Krishna De, Shubham Kumar Parate, Kartick Biswas, Pavan Nukala"
GPU Sharing with Triples Mode,"Chansup Byun, Albert Reuther, LaToya Anderson, William Arcand, Bill Bergeron, David Bestor, Alexander Bonn, Daniel Burrill, Vijay Gadepally, Michael Houle, Matthew Hubbell, Hayden Jananthan, Michael Jones, Piotr Luszczek, Peter Michaleas, Lauren Milechin, Guillermo Morales, Julie Mullen, Andrew Prout, Antonio Rosa, Charles Yee, Jeremy Kepner"
Entanglement-enhanced AC magnetometry in the presence of Markovian noises,"Thanaporn Sichanugrist, Hajime Fukuda, Takeo Moroi, Kazunori Nakayama, So Chigusa, Norikazu Mizuochi, Masashi Hazumi, Yuichiro Matsuzaki"
Nearly tight bounds for testing tree tensor network states,"Benjamin Lovitz, Angus Lowe"
LLload: An Easy-to-Use HPC Utilization Tool,"Chansup Byun, Albert Reuther, Julie Mullen, LaToya Anderson, William Arcand, Bill Bergeron, David Bestor, Alexander Bonn, Daniel Burrill, Vijay Gadepally, Michael Houle, Matthew Hubbell, Hayden Jananthan, Michael Jones, Piotr Luszczek, Peter Michaleas, Lauren Milechin, Guillermo Morales, Andrew Prout, Antonio Rosa, Charles Yee, Jeremy Kepner"
Popping Bubbles in Pangenome Graphs,"Njagi Mwaniki, Erik Garrison, Nadia Pisanti"
Effects of dark boson mediated feeble interaction between dark matter (DM) and quark matter on $f$-mode oscillation of DM admixed quark stars,"O. P. Jyothilakshmi, Lakshmi J. Naik, Debashree Sen, Atanu Guha, V. Sreekanth"
SPICEPilot: Navigating SPICE Code Generation and Simulation with AI Guidance,"Deepak Vungarala, Sakila Alam, Arnob Ghosh, Shaahin Angizi"
BUNDL: Bayesian Uncertainty-aware Deep Learning with Noisy training Labels for Seizure Detection in EEG,"Deeksha M Shama, Archana Venkataraman"
Regulating Sommerfeld resonances for multi-state systems and higher partial waves,"Aditya Parikh, Ryosuke Sato, Tracy R. Slatyer"
Design and analysis of a HTS internally cooled cable for the Muon Collider target and capture solenoid magnets,"L. Bottura, C. Accettura, A. Kolehmainen, J. Lorenzo Gomez, A. Portone, P. Testoni"
New Angles on Energy Correlators,"Samuel Alipour-fard, Ankita Budhraja, Jesse Thaler, Wouter J. Waalewijn"
What Emergence Can Possibly Mean,"Sean M. Carroll, Achyuth Parola"
Truncation-Free Quantum Simulation of Pure-Gauge Compact QED Using Josephson Arrays,"Guy Pardo, Julian Bender, Nadav Katz, Erez Zohar"
DuoAttention: Efficient Long-Context LLM Inference with Retrieval and Streaming Heads,"Guangxuan Xiao, Jiaming Tang, Jingwei Zuo, Junxian Guo, Shang Yang, Haotian Tang, Yao Fu, Song Han"
HART: Efficient Visual Generation with Hybrid Autoregressive Transformer,"Haotian Tang, Yecheng Wu, Shang Yang, Enze Xie, Junsong Chen, Junyu Chen, Zhuoyang Zhang, Han Cai, Yao Lu, Song Han"
Deep Compression Autoencoder for Efficient High-Resolution Diffusion Models,"Junyu Chen, Han Cai, Junsong Chen, Enze Xie, Shang Yang, Haotian Tang, Muyang Li, Yao Lu, Song Han"
SlimSeiz: Efficient Channel-Adaptive Seizure Prediction Using a Mamba-Enhanced Network,"Guorui Lu, Jing Peng, Bingyuan Huang, Chang Gao, Todor Stefanov, Yong Hao, Qinyu Chen"
Tracking the nonlinear formation of an interfacial wave spectral cascade from one to few to many,"Sean M. D. Gregory, Silvia Schiattarella, Vitor S. Barroso, David I. Kaiser, Anastasios Avgoustidis, Silke Weinfurtner"
Dirac Traces and the Tutte Polynomial,Joshua Lin
Linguistically-Informed Multilingual Instruction Tuning: Is There an Optimal Set of Languages to Tune?,"Gürkan Soykan, Gözde Gül Şahin"
OpenEarable ExG: Open-Source Hardware for Ear-Based Biopotential Sensing Applications,"Philipp Lepold, Tobias Röddiger, Tobias King, Kai Kunze, Christoph Maurer, Michael Beigl"
Inverse Design of Photonic Crystal Waveguides Using Neural Networks and Dispersion Optimization,Lucian Feng
Fast matrix representation for Clifford algebras,Gleb Rumyantsev
Anisotropic Stellar Models with Tolman IV Spacetime in Non-minimally Coupled Theory,"M. Sharif, Tayyab Naseer"
SPECTER: Efficient Evaluation of the Spectral EMD,"Rikab Gambhir, Andrew J. Larkoski, Jesse Thaler"
DreamSat: Towards a General 3D Model for Novel View Synthesis of Space Objects,"Nidhi Mathihalli, Audrey Wei, Giovanni Lavezzi, Peng Mun Siew, Victor Rodriguez-Fernandez, Hodei Urrutxua, Richard Linares"
Graded Suspiciousness of Adversarial Texts to Human,"Shakila Mahjabin Tonni, Pedro Faustini, Mark Dras"
"Effect of $f(R,T)$ theory of gravity on the properties of strange quark stars","Suman Pal, Gargi Chaudhuri"
Beyond Language: Applying MLX Transformers to Engineering Physics,"Stavros Kassinos, Alessio Alexiadis"
Exploring gauge-fixing conditions with gradient-based optimization,"William Detmold, Gurtej Kanwar, Yin Lin, Phiala E. Shanahan, Michael L. Wagman"
Transverse Energy-Energy Correlator for Vector Boson-Tagged Hadron Production in $pp$ and $pA$ collisions,"Zhong-Bo Kang, Sookhyun Lee, Jani Penttala, Fanyi Zhao, Yiyu Zhou"
Gravitational form factors of glueballs in Yang-Mills theory,"Ryan Abbott, Daniel C. Hackett, Dimitra A. Pefkou, Fernando Romero-López, Phiala Shanahan"
Revisiting Single Inclusive Jet Production: Small-$R$ Resummation at Next-to-Leading Logarithm,"Kyle Lee, Ian Moult, Xiaoyuan Zhang"
