ID,Title,Authors,Abstract,Journal_Conference_Name,Publisher,Year,DOI,Group_Name
11,Study of Wormholes in Symmetric Teleparallel Theories of Gravity,Moreshwar Tayde,"This thesis explores traversable wormhole (WH) solutions within symmetric teleparallel gravity and its extensions, including $f(Q)$ and $f(Q, T)$ gravity. Chapter I reviews WH geometry and properties, general relativity, and modified gravity's role in WH physics. Chapter II constructs WHs in $f(Q)$ gravity using dark matter profiles like Pseudo-Isothermal and Navarro-Frenk-White (NFW). For linear $f(Q)$ models, suitable redshift and shape functions satisfying the flare-out condition yield viable WHs, with the monopole charge $\eta$ driving Null Energy Condition (NEC) violation. The Volume Integral Quantifier (VIQ) method shows minimal exotic matter is needed. Nonlinear models like $f(Q) = Q + m Q^n$ fail to meet WH criteria. Chapter III studies $f(Q, T)$ gravity, where $Q$ and the trace $T$ of the energy-momentum tensor are coupled. WHs are examined under barotropic and anisotropic equations of state using forms like $f(Q, T) = \alpha Q + \beta T$ and $f(Q, T) = Q + \lambda_1 Q^2 + \eta_1 T$. NEC violations occur near the throat, indicating effective matter-geometry coupling. Tolman-Oppenheimer-Volkoff (TOV) analysis confirms equilibrium under suitable parameters. Chapter IV employs the MIT bag model in $f(Q, T)$ gravity, treating it as a source of exotic matter. Specific shape functions lead to WHs with NEC violation and TOV-based stability under radial perturbations. Chapter V considers WHs in $f(Q, T)$ gravity with noncommutative geometries inspired by string theory. Gaussian and Lorentzian smeared sources are used. Linear models yield analytical WH solutions, nonlinear ones are numerical. All satisfy the flare-out condition and exhibit NEC violation. Gravitational lensing analysis reveals distinguishable features from black holes. Chapter VI summarizes the results, emphasizing observational prospects in extended gravity frameworks.",N/A,arXiv,2025,N/A,gr-qc
12,Parity anomaly from LSM: exact valley symmetries on the lattice,"Salvatore D. Pace, Minho Luke Kim, Arkya Chatterjee, Shu-Heng Shao","We show that the honeycomb tight-binding model hosts an exact microscopic avatar of its low-energy SU(2) valley symmetry and parity anomaly. Specifically, the SU(2) valley symmetry arises from a collection of conserved, integer-quantized charge operators that obey the Onsager algebra. Along with lattice reflection and time-reversal symmetries, this Onsager symmetry has a Lieb-Schultz-Mattis (LSM) anomaly that matches the parity anomaly in the IR. Indeed, we show that any local Hamiltonian commuting with these symmetries cannot have a trivial unique gapped ground state. We study the phase diagram of the simplest symmetric model and survey various deformations, including Haldane's mass term, which preserves only the Onsager symmetry. Our results place the parity anomaly in 2+1D alongside Schwinger's anomaly in 1+1D and Witten's SU(2) anomaly in 3+1D as 't Hooft anomalies that can arise from the Onsager symmetry on the lattice.",N/A,arXiv,2025,N/A,cond-mat.str-el
13,High-redshift Millennium and Astrid galaxies in effective field theory at the field level,"James M. Sullivan, Carolina Cuesta-Lazaro, Mikhail M. Ivanov, Yueying Ni, Sownak Bose, Boryana Hadzhiyska, César Hernández-Aguayo, Lars Hernquist, Rahul Kannan","Effective Field Theory (EFT) modeling is expected to be a useful tool in the era of future higher-redshift galaxy surveys such as DESI-II and Spec-S5 due to its robust description of various large-scale structure tracers. However, large values of EFT bias parameters of higher-redshift galaxies could jeopardize the convergence of the perturbative expansion. In this paper we measure the bias parameters and other EFT coefficients from samples of two types of star-forming galaxies in the state-of-the-art MilleniumTNG and Astrid hydrodynamical simulations. Our measurements are based on the field-level EFT forward model that allows for precision EFT parameter measurements by virtue of cosmic variance cancellation. Specifically, we consider approximately representative samples of Lyman-break galaxies (LBGs) and Lyman-alpha emitters (LAEs) that are consistent with the observed (angular) clustering and number density of these galaxies at $z=3$. Reproducing the linear biases and number densities observed from existing LAE and LBG data, we find quadratic bias parameters that are roughly consistent with those predicted from the halo model coupled with a simple halo occupation distribution model. We also find non-perturbative velocity contributions (Fingers of God) of a similar size for LBGs to the familiar case of Luminous Red Galaxies. However, these contributions are quite small for LAEs despite their large satellite fraction values of up to $\sim 30\%$. Our results indicate that the effective momentum reach $k_{\rm{Max}}$ at $z=3$ for LAEs (LBGs) will be in the range $0.3-0.6 ~h\rm{Mpc}^{-1}$ ($0.2-0.8~h\rm{Mpc}^{-1}$), suggesting that EFT will perform well for high redshift galaxy clustering. This work provides the first step toward obtaining realistic simulation-based priors on EFT parameters for LAEs and LBGs.",N/A,arXiv,2025,N/A,astro-ph.CO
14,From Biometrics to Environmental Control: AI-Enhanced Digital Twins for Personalized Health Interventions in Healing Landscapes,"Yiping Meng, Yiming Sun","The dynamic nature of human health and comfort calls for adaptive systems that respond to individual physiological needs in real time. This paper presents an AI-enhanced digital twin framework that integrates biometric signals, specifically electrocardiogram (ECG) data, with environmental parameters such as temperature, humidity, and ventilation. Leveraging IoT-enabled sensors and biometric monitoring devices, the system continuously acquires, synchronises, and preprocesses multimodal data streams to construct a responsive virtual replica of the physical environment. To validate this framework, a detailed case study is conducted using the MIT-BIH noise stress test dataset. ECG signals are filtered and segmented using dynamic sliding windows, followed by extracting heart rate variability (HRV) features such as SDNN, BPM, QTc, and LF/HF ratio. Relative deviation metrics are computed against clean baselines to quantify stress responses. A random forest classifier is trained to predict stress levels across five categories, and Shapley Additive exPlanations (SHAP) is used to interpret model behaviour and identify key contributing features. These predictions are mapped to a structured set of environmental interventions using a Five Level Stress Intervention Mapping, which activates multi-scale responses across personal, room, building, and landscape levels. This integration of physiological insight, explainable AI, and adaptive control establishes a new paradigm for health-responsive built environments. It lays the foundation for the future development of intelligent, personalised healing spaces.",N/A,arXiv,2025,N/A,eess.SP
15,Regression is all you need for medical image translation,"Sebastian Rassmann, David Kügler, Christian Ewert, Martin Reuter","The acquisition of information-rich images within a limited time budget is crucial in medical imaging. Medical image translation (MIT) can help enhance and supplement existing datasets by generating synthetic images from acquired data. While Generative Adversarial Nets (GANs) and Diffusion Models (DMs) have achieved remarkable success in natural image generation, their benefits - creativity and image realism - do not necessarily transfer to medical applications where highly accurate anatomical information is required. In fact, the imitation of acquisition noise or content hallucination hinder clinical utility. Here, we introduce YODA (You Only Denoise once - or Average), a novel 2.5D diffusion-based framework for volumetric MIT. YODA unites diffusion and regression paradigms to produce realistic or noise-free outputs. Furthermore, we propose Expectation-Approximation (ExpA) DM sampling, which draws inspiration from MRI signal averaging. ExpA-sampling suppresses generated noise and, thus, eliminates noise from biasing the evaluation of image quality. Through extensive experiments on four diverse multi-modal datasets - comprising multi-contrast brain MRI and pelvic MRI-CT - we show that diffusion and regression sampling yield similar results in practice. As such, the computational overhead of diffusion sampling does not provide systematic benefits in medical information translation. Building on these insights, we demonstrate that YODA outperforms several state-of-the-art GAN and DM methods. Notably, YODA-generated images are shown to be interchangeable with, or even superior to, physical acquisitions for several downstream tasks. Our findings challenge the presumed advantages of DMs in MIT and pave the way for the practical application of MIT in medical imaging.",N/A,arXiv,2025,N/A,eess.IV
16,Ensuring Reproducibility in Generative AI Systems for General Use Cases: A Framework for Regression Testing and Open Datasets,"Masumi Morishige, Ryo Koshihara","Reproducibility and reliability remain pressing challenges for generative AI systems whose behavior can drift with each model update or prompt revision. We introduce GPR-bench, a lightweight, extensible benchmark that operationalizes regression testing for general purpose use cases. GPR-bench couples an open, bilingual (English and Japanese) dataset covering eight task categories (e.g., text generation, code generation, and information retrieval) and 10 scenarios in each task categories (80 total test cases for each language) with an automated evaluation pipeline that employs ""LLM-as-a-Judge"" scoring of correctness and conciseness. Experiments across three recent model versions - gpt-4o-mini, o3-mini, and o4-mini - and two prompt configurations (default versus concise-writing instruction) reveal heterogeneous quality. Our results show that newer models generally improve correctness, but the differences are modest and not statistically significant, suggesting that GPR-bench may not be sufficiently challenging to differentiate between recent model versions. In contrast, the concise-writing instruction significantly enhances conciseness (+12.37 pp, Mann-Whitney U test: p < 0.001, effect size r = 0.2995) with minimal degradations on accuracy (-1.7 pp), demonstrating the effectiveness of prompt engineering. Released under the MIT License, GPR- bench lowers the barrier to initiating reproducibility monitoring and provides a foundation for community-driven extensions, while also raising important considerations about benchmark design for rapidly evolving language models.",N/A,arXiv,2025,N/A,cs.CL
17,Holographic Heavy Quark Energy Loss in the Hybrid Model,"Jean F. Du Plessis, Daniel Pablos, Krishna Rajagopal","To date, holographic calculations in strongly coupled plasma have provided separate descriptions for the rates of energy loss either for ultrarelativistic massless quarks and gluons or for infinitely massive quarks, with the latter calculation valid for $\sqrt{\gamma} < M/(\sqrt{\lambda}T)$, where $\gamma$ is the Lorentz boost factor for a heavy quark with velocity $v$ and mass $M$ moving through plasma with 't Hooft coupling $\lambda$ and temperature $T$. These two calculations should apply sequentially in the description of the energy loss of a heavy quark that starts out ultrarelativistic, loses energy, slows down, becomes non-relativistic at later times, and ultimately comes to rest and diffuses in the strongly coupled plasma. We provide an ansatz for uniquely incorporating both regimes to give an approximate but unified description of how a heavy quark that is initially ultrarelativistic loses energy all the way until it comes to rest. We implement this ansatz in the Hybrid Strong/Weak Coupling Model. With this new, consistent, treatment of heavy quark energy loss at strong coupling, we confront our predictions for the suppression and azimuthal anisotropies of D- and B-mesons, as well as B-tagged jets, with available experimental data.",N/A,arXiv,2025,N/A,hep-ph
18,Linear Parameter Varying Attitude Control For CubeSats Using Electrospray Thrusters,"Felix Biertümpfel, Emily Burgin, Hanna-Lee Harjono, Paulo Lozano, Harald Pfifer","This paper proposes the design of a single linear parameter-varying (LPV) controller for the attitude control of CubeSats using electro spray thrusters. CubeSat attitude control based on electro spray thrusters faces two main challenges. Firstly, the thruster can only generate a small control torque leading to easily saturating the actuation system. Secondly, CubeSats need to operate multiple different maneuvers from large to small slews to pointing tasks. LPV control is ideally suitable to address these challenges. The proposed design follows a mixed-sensitivity control scheme. The parameter-varying weights depend on the attitude error and are derived from the performance and robustness requirements of individual typical CubeSat maneuvers. The controller is synthesized by minimizing the induced L2-norm of the closed-loop interconnections between the controller and weighted plant. The performance and robustness of the controller is demonstrated on a simulation of the MIT Space Propulsion Lab's Magnetic Levitation CubeSat Testbed.",N/A,arXiv,2025,N/A,eess.SY
19,Real-World Gaps in AI Governance Research,"Ilan Strauss, Isobel Moure, Tim O'Reilly, Sruly Rosenblat","Drawing on 1,178 safety and reliability papers from 9,439 generative AI papers (January 2020 - March 2025), we compare research outputs of leading AI companies (Anthropic, Google DeepMind, Meta, Microsoft, and OpenAI) and AI universities (CMU, MIT, NYU, Stanford, UC Berkeley, and University of Washington). We find that corporate AI research increasingly concentrates on pre-deployment areas -- model alignment and testing & evaluation -- while attention to deployment-stage issues such as model bias has waned. Significant research gaps exist in high-risk deployment domains, including healthcare, finance, misinformation, persuasive and addictive features, hallucinations, and copyright. Without improved observability into deployed AI, growing corporate concentration could deepen knowledge deficits. We recommend expanding external researcher access to deployment data and systematic observability of in-market AI behaviors.",N/A,arXiv,2025,10.35650/AIDP.4112.d.2025,cs.AI
20,ArrhythmiaVision: Resource-Conscious Deep Learning Models with Visual Explanations for ECG Arrhythmia Classification,"Zuraiz Baig, Sidra Nasir, Rizwan Ahmed Khan, Muhammad Zeeshan Ul Haque","Cardiac arrhythmias are a leading cause of life-threatening cardiac events, highlighting the urgent need for accurate and timely detection. Electrocardiography (ECG) remains the clinical gold standard for arrhythmia diagnosis; however, manual interpretation is time-consuming, dependent on clinical expertise, and prone to human error. Although deep learning has advanced automated ECG analysis, many existing models abstract away the signal's intrinsic temporal and morphological features, lack interpretability, and are computationally intensive-hindering their deployment on resource-constrained platforms. In this work, we propose two novel lightweight 1D convolutional neural networks, ArrhythmiNet V1 and V2, optimized for efficient, real-time arrhythmia classification on edge devices. Inspired by MobileNet's depthwise separable convolutional design, these models maintain memory footprints of just 302.18 KB and 157.76 KB, respectively, while achieving classification accuracies of 0.99 (V1) and 0.98 (V2) on the MIT-BIH Arrhythmia Dataset across five classes: Normal Sinus Rhythm, Left Bundle Branch Block, Right Bundle Branch Block, Atrial Premature Contraction, and Premature Ventricular Contraction. In order to ensure clinical transparency and relevance, we integrate Shapley Additive Explanations and Gradient-weighted Class Activation Mapping, enabling both local and global interpretability. These techniques highlight physiologically meaningful patterns such as the QRS complex and T-wave that contribute to the model's predictions. We also discuss performance-efficiency trade-offs and address current limitations related to dataset diversity and generalizability. Overall, our findings demonstrate the feasibility of combining interpretability, predictive accuracy, and computational efficiency in practical, wearable, and embedded ECG monitoring systems.",N/A,arXiv,2025,N/A,cs.LG
21,Mcity Data Engine: Iterative Model Improvement Through Open-Vocabulary Data Selection,"Daniel Bogdoll, Rajanikant Patnaik Ananta, Abeyankar Giridharan, Isabel Moore, Gregory Stevens, Henry X. Liu","With an ever-increasing availability of data, it has become more and more challenging to select and label appropriate samples for the training of machine learning models. It is especially difficult to detect long-tail classes of interest in large amounts of unlabeled data. This holds especially true for Intelligent Transportation Systems (ITS), where vehicle fleets and roadside perception systems generate an abundance of raw data. While industrial, proprietary data engines for such iterative data selection and model training processes exist, researchers and the open-source community suffer from a lack of an openly available system. We present the Mcity Data Engine, which provides modules for the complete data-based development cycle, beginning at the data acquisition phase and ending at the model deployment stage. The Mcity Data Engine focuses on rare and novel classes through an open-vocabulary data selection process. All code is publicly available on GitHub under an MIT license: https://github.com/mcity/mcity_data_engine",N/A,arXiv,2025,N/A,cs.CV
22,A Universal Equilibration Condition for Heavy Quarks,"Krishna Rajagopal, Bruno Scheihing-Hitschfeld, Urs Achim Wiedemann","Kinetic equilibration at late times is physically required for heavy particles in a finite temperature medium. In Fokker-Planck dynamics, it is ensured by the Einstein relation between the drag and longitudinal momentum diffusion coefficients. However, in certain gauge field theories, this relation is violated at any nonzero heavy quark velocity. Recent work in strongly coupled $\mathcal{N}=4$ SYM gauge theory shows that the Kolmogorov equation for the heavy quark phase space distribution (that reduces to Fokker-Planck form upon truncating the momentum transfer probability distribution to second moments) does equilibrate even though the Fokker-Planck equation does not. Here, we generalize some of these (to date theory-specific) insights to any quantum field theory at any coupling strength. Starting from quantum field theory first principles, we derive a universal equilibration condition for the kernel of the Kolmogorov equation and, consequently, for the momentum transfer probability distribution. Remarkably, this condition reveals that the asymmetry between energy loss and energy gain in the momentum transfer probability distribution takes a simple, theory-independent, form.",N/A,arXiv,2025,N/A,hep-ph
23,Collapse of molecular orbital by ultrahigh magnetic fields in V$_6$O$_{13}$,"Yuto Ishii, Akihiko Ikeda, Yasuhiro. H. Matsuda","V$_6$O$_{13}$ exhibits the metal-insulator transition (MIT) with vanadium-vanadium (V-V) dimer formation. The magnetostriction of V$_6$O$_{13}$ along the crystallographic $b$-axis has been measured in ultrahigh magnetic fields up to 186 T at several temperatures in this work. The large negative magnetostriction as large as $\Delta L / L \sim10^{-3}$ was observed above 110 T below the transition temperature. Discussion based on experimental results and the physical property of V$_6$O$_{13}$ suggests that the observed large negative magnetostriction corresponds to the collapse of V-V dimer molecular orbital (MO). This is the first case for direct observation of lattice change originating from the magnetic field-induced collapse of V-V dimer MO in vanadium oxides. In addition, the $B$-$T$ phase diagram and the magnitude of magnetostriction indicate that the collapse of V-V dimer MO probably accompanies the insulator-to-metal transition. A large hysteresis that is larger than 50 T was observed, which probably arises from the non-equilibrated cross-correlation of such degrees of freedom as the charge, spin, and lattice. Comparison with the VO$_2$ case suggests the magnetic entropy of the remanent paramagnetic spins in the insulating phase may play an important role for the MIT in V$_6$O$_{13}$.",N/A,arXiv,2025,N/A,cond-mat.str-el
24,Quasi-normal f-modes of anisotropic quark stars in full general relativity,"Sushovan Mondal, Manjari Bagchi","We investigate f-mode oscillations of anisotropic quark stars within the framework of full general relativity. We consider two different equations of state (EOSs), one is the MIT bag model EOS and the other is EOS-A. Our study examines the impact of the pressure anisotropy on the equilibrium structure, as well as on the frequencies and damping times of f-mode oscillations. Our results confirm that the f-mode frequency scales linearly with the square root of the average density, with anisotropy influencing both the slope and intercept of this relation. The dependence of the f-mode frequency on total mass reveals distinct trends based on the relative dominance of tangential and radial pressure. When the tangential pressure exceeds the radial pressure, the frequency increases with mass, exhibiting rapid growth for massive quark stars. When the radial pressure dominates, the frequency increases with mass; however, in cases where the radial pressure is significantly greater than the tangential pressure, the frequency decreases as mass increases. For low-mass quark stars, stronger tangential pressure leads to an increase in frequency, while beyond a threshold mass, a further increase in tangential pressure results in a decrease in frequency. For the chosen range of anisotropic strengths, the frequency varies between 1.3 kHz and 2.3 kHz for the MIT bag EOS and between 1.8 kHz and 3.4 kHz for EOS-A. We find that the normalized damping time follows a linear trend with compactness. For a fixed stellar mass, an increase in tangential pressure relative to radial pressure reduces the damping time, whereas a decrease in tangential pressure significantly increases it. The damping time ranges from 83 ms to 900 ms for the MIT bag EOS and from 60 ms to 761 ms for EOS-A. We present semi-empirical expressions for both the frequency and damping time as functions of mass, radius, and anisotropic strength.",N/A,arXiv,2025,N/A,gr-qc
